date,week,month,year,project,username,atype,vtype,assettype,reviewtype,pkgtype,scene,shot,eftype,state,count,bytes,size,intreviewed,dirreviewed
2019-05-20,2019-05-20,2019-05-01,2019,project10,4ec0a9a3fd1810a7a1edea90c0d857f7,Asset,Master,global,,,,,,,1,1184.0,1184 bytes,,
2019-05-20,2019-05-20,2019-05-01,2019,project10,4ec0a9a3fd1810a7a1edea90c0d857f7,Asset,Master,global,,,,,,,1,4111.0,4111 bytes,,
2019-05-20,2019-05-20,2019-05-01,2019,project10,4ec0a9a3fd1810a7a1edea90c0d857f7,Asset,Master,global,,,,,,,1,2713.0,2713 bytes,,
2019-05-20,2019-05-20,2019-05-01,2019,project10,4ec0a9a3fd1810a7a1edea90c0d857f7,Asset,Master,global,,,,,,,1,627530.0,613 kB,,
2019-05-20,2019-05-20,2019-05-01,2019,project10,4ec0a9a3fd1810a7a1edea90c0d857f7,Asset,Master,global,,,,,,,1,627530.0,613 kB,,
2019-05-20,2019-05-20,2019-05-01,2019,project10,4ec0a9a3fd1810a7a1edea90c0d857f7,Asset,Master,global,,,,,,,1,6604499.0,6450 kB,,
